#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
UVO,0904-02,09:07:08.02,-03:06:15.90,9.118894,136.783417,-3.104417,He-sdO,,1,11.8,46200,250,5.64,0.05,1.91,,Hirsch09,0.0168,0.0003,0.052,11.503,0.002,,,,,,,12.170,0.270,,,11.550,0.110,11.922,0.038,11.671,0.049,11.680,0.037,12.145,0.042,12.479,0.122,,,,,,,,,,,,,,,,,,,,,12.639,0.028,12.799,0.030,12.884,0.037,12.522,0.001,12.616,0.001,12.756,0.002,12.877,0.002,,,,,12.655,0.001,,,12.890,0.002,12.950,0.025,13.028,0.033,12.540,,8.937,,,,,,-31.2,1.1,3.5,1.3,-36.7,2.1,0.9,2.1,-40.0,,,,,,,,-32.4,5.3,1.1,5.3,,,,,saturated??,not covered,,,,,,,,,,,,,,,,
SDSSJ,090722.89+014627.8,09:07:22.89,01:46:27.8,9.123025,136.845375,1.774389,sdOB,,,19.1,,,,,,,,0.0315,0.0015,0.098,18.135,0.037,18.334,0.023,19.350,0.440,19.310,0.420,,,,,19.100,0.420,,,,,,,,,,,18.846,0.019,19.197,0.010,19.635,0.015,19.958,0.026,20.218,0.093,,,,,,,,,,,,,,,,,19.872,0.121,,,,,,,19.696,0.020,,,19.891,0.204,20.064,0.322,,,,,,,,,,,3.0,3.0,-10.0,3.0,,,,,11.5,6.1,-19.1,6.1,12.0,3.0,-12.0,7.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,090831.05+101533.2,09:08:31.05,10:15:33.2,9.141958,137.129375,10.259222,sd?,,,18.5,,,,,,,,0.0372,0.0007,0.115,,,,,18.920,0.420,18.560,0.420,18.610,0.450,,,18.260,0.420,,,,,,,,,,,18.272,0.014,18.562,0.007,19.033,0.011,19.407,0.016,19.692,0.079,,,,,,,,,,,,,,,,,19.371,0.096,19.297,0.145,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,-7.0,3.0,,,,,-1.5,6.0,-5.9,6.0,,,,,-6.7,3.2,-7.8,3.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0906+191,09:08:53.20,18:53:10.31,9.148111,137.221667,18.886197,sdB+X,,,16.1,,,,,,,,0.0370,0.0012,0.115,15.862,0.011,16.121,0.007,15.800,0.420,16.300,0.410,16.180,0.410,15.560,0.420,15.540,0.420,16.043,0.049,16.166,0.127,15.995,0.029,15.993,0.055,16.228,0.257,16.242,0.006,15.956,0.004,15.984,0.004,16.012,0.004,16.100,0.007,,,,,,,,,,,15.425,0.044,15.264,0.089,15.258,0.136,,,,,,,,,,,,,,,,,,,15.241,0.046,15.122,0.109,12.681,,8.819,,0.0,2.0,-6.0,2.0,0.8,4.7,-3.5,5.0,-3.4,3.9,-9.6,3.9,,,,,-0.6,3.1,-3.4,2.1,-6.2,5.9,3.5,5.9,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,090902.40+161207.4,09:09:02.40,16:12:07.4,9.150667,137.260000,16.202056,He-sdO,,,18.0,53210,,5.36,,2.29,,Nemethprep,0.0297,0.0004,0.092,16.762,0.032,17.051,0.024,18.520,0.420,18.170,0.420,18.560,0.500,18.370,0.460,17.530,0.420,,,,,,,,,,,17.527,0.010,18.013,0.006,18.519,0.008,18.887,0.013,19.182,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,-6.0,3.0,,,,,9.0,4.8,-10.6,4.8,14.0,1.0,-6.0,6.0,6.2,2.4,-2.4,2.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,090917.09+002514.0,09:09:17.09,00:25:14.0,9.154747,137.321208,0.420556,sdB,,,18.3,31650,,5.00,,-2.50,0.00,Nemethprep,0.0319,0.0012,0.099,18.066,0.011,18.536,0.010,17.750,0.420,18.340,0.410,,,18.050,0.490,18.170,0.420,,,,,,,,,,,18.627,0.020,18.152,0.006,18.078,0.007,18.046,0.009,18.124,0.025,,,,,,,,,,,,,,,,,17.595,0.018,17.404,0.020,17.125,0.028,17.254,0.067,,,,,17.347,0.017,17.147,0.020,17.106,0.033,,,,,,,,,-5.0,3.0,-2.0,3.0,,,,,-4.0,4.9,-0.6,4.9,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,0905+549,09:09:30.10,54:45:55.59,9.158361,137.375417,54.765442,sdB,,,16.5,,,,,,,,0.0159,0.0004,0.049,19.930,0.095,18.547,0.037,16.430,0.420,16.540,0.410,16.300,0.300,16.220,0.430,16.170,0.430,16.389,0.082,16.405,0.080,16.231,0.129,16.409,0.102,16.101,,17.452,0.009,16.272,0.004,16.410,0.004,16.561,0.005,16.676,0.010,,,,,,,,,,,16.156,0.103,15.781,0.168,15.531,,,,,,,,,,,,,,,,,,,,16.188,0.072,16.353,0.262,12.839,,9.224,,1.0,3.0,-3.0,3.0,-3.9,7.5,-5.0,7.4,-3.3,4.6,-2.2,4.6,,,,,3.1,1.5,-0.7,1.3,6.5,5.8,-10.0,5.8,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,0906+532,09:09:40.69,53:04:12.50,9.161303,137.419542,53.070139,sdB,,,15.2,,,,,,,,0.0150,0.0006,0.046,19.085,0.074,17.468,0.018,15.030,0.420,15.230,0.410,15.040,0.260,14.920,0.430,15.050,0.410,15.003,0.050,15.168,0.051,15.059,0.197,15.150,0.105,15.191,0.134,16.221,0.005,14.928,0.003,15.051,0.003,15.178,0.003,15.223,0.005,,,,,,,,,,,14.651,0.030,14.681,0.064,14.437,0.077,,,,,,,,,,,,,,,,,,,14.531,0.030,14.533,0.055,13.054,0.527,9.029,0.457,-4.0,3.0,-7.0,3.0,-8.1,4.4,-5.8,4.8,-6.4,4.1,-4.4,4.1,,,,,-4.4,1.0,-5.3,0.8,-7.7,5.5,-11.3,5.5,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0904+735,09:09:55.47,73:18:46.23,9.165408,137.481125,73.312842,sdB,,,15.0,,,,,,,,0.0233,0.0015,0.072,,,,,15.170,0.420,14.920,0.410,15.120,0.260,15.430,0.420,14.720,0.390,15.055,0.054,14.992,0.492,15.025,0.379,15.257,0.012,15.500,0.020,,,,,,,,,,,,,,,,,,,,,15.565,0.064,15.470,0.109,15.594,0.193,,,,,,,,,,,,,,,,,,,15.888,0.059,16.358,0.245,12.913,,9.266,,,,,,0.1,2.4,-5.8,4.1,-2.6,4.5,-1.0,4.5,,,,,-2.2,1.0,0.6,3.8,-4.0,5.9,1.5,5.9,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0905+627,09:09:57.80,62:29:26.94,9.166056,137.490833,62.490817,sdO,,,16.1,48000,4900,5.68,0.17,-1.70,0.60,Geier15,0.0391,0.0006,0.121,,,,,16.350,0.420,15.950,0.410,16.560,0.350,16.730,0.430,15.740,0.410,16.448,0.057,16.079,0.034,16.211,0.085,16.713,0.054,,,15.743,0.005,16.115,0.004,16.609,0.005,16.959,0.006,17.387,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.294,0.174,16.757,,12.954,,9.289,,4.0,3.0,6.0,3.0,,,,,1.8,4.9,2.3,4.9,6.0,,8.0,1.0,0.6,1.3,0.5,1.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0906+597,09:10:21.37,59:30:34.08,9.172603,137.589042,59.509467,sdB,,,15.1,,,,,,,,0.0366,0.0008,0.113,13.649,0.005,14.147,0.002,15.510,0.330,15.000,0.360,15.530,0.250,15.810,0.370,15.200,0.360,15.319,0.057,14.970,0.090,14.978,0.084,15.544,0.075,15.773,0.034,14.654,0.004,15.073,0.003,15.617,0.004,15.990,0.005,16.319,0.008,,,,,,,,,,,16.171,0.096,16.031,0.217,15.416,,,,,,,,,,,,,,,,,,,,17.053,0.150,16.837,,12.883,,9.273,,13.0,3.0,-3.0,3.0,17.8,5.8,-7.5,5.6,18.3,4.4,-7.2,4.4,16.0,3.0,,3.0,14.6,2.1,-4.6,2.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0907+123,09:10:25.45,12:08:27.16,9.173736,137.606042,12.140878,sdB+WD,,,13.8,26200,900,5.30,0.10,-1.70,0.10,Maxted01,0.0231,0.0007,0.072,13.196,0.006,13.672,0.004,14.030,0.410,13.800,0.420,13.830,0.290,14.230,0.430,13.560,0.420,13.916,0.045,13.762,0.058,13.749,0.067,14.141,0.065,14.389,0.126,13.553,0.003,13.948,0.009,14.127,0.004,14.790,0.008,14.785,0.004,,,,,,,,,,,14.474,0.030,14.666,0.066,14.571,0.075,,,,,,,,,,,,,,,,,,,14.815,0.040,15.045,0.108,12.426,,9.055,,-11.0,3.0,-2.0,3.0,-9.1,1.4,-3.6,1.7,-9.1,4.1,-2.1,4.1,-10.0,2.0,4.0,3.0,-7.2,1.4,4.9,1.3,-24.4,5.9,1.7,5.9,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,091044.90+234044.7,09:10:44.90,23:40:44.7,9.179139,137.687083,23.679083,sdO,,,17.8,,,,,,,,0.0375,0.0022,0.116,16.607,0.023,16.901,0.011,18.750,0.450,17.950,0.420,17.930,0.330,18.460,0.470,17.630,0.410,,,,,,,,,,,17.459,0.010,17.891,0.005,18.392,0.008,18.789,0.013,19.256,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,-7.0,3.0,,,,,-4.4,4.5,-8.4,4.5,,,,,0.8,2.9,-8.6,1.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,091052.27+074934.6,09:10:52.27,07:49:34.6,9.181186,137.717792,7.826278,sdB,,,18.9,31200,,5.39,,-3.05,0.00,Nemethprep,0.0435,0.0015,0.135,18.114,0.034,18.403,0.024,19.300,0.430,18.940,0.420,,,,,18.720,0.420,,,,,,,,,,,18.816,0.020,18.972,0.009,19.418,0.015,19.756,0.029,20.111,0.135,,,,,,,,,,,,,,,,,19.838,0.107,19.654,0.135,,,,,,,,,,,,,,,,,,,,,,,-5.0,3.0,-7.0,3.0,,,,,-6.0,4.3,-4.4,4.3,,,,,-8.6,2.9,-5.7,1.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,091136.73+124015.2,09:11:36.73,12:40:15.2,9.193536,137.903042,12.670889,sdB,,,18.4,,,,,,,,0.0269,0.0010,0.083,17.394,0.043,17.860,0.032,18.200,0.420,18.330,0.420,18.510,0.410,18.150,0.450,18.330,0.420,,,,,,,,,,,18.453,0.014,18.161,0.006,18.235,0.007,18.320,0.009,18.400,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,-3.0,3.0,,,,,-3.3,5.7,-6.2,5.7,,,,,-5.5,1.8,-0.7,1.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0908+281,09:11:36.85,27:52:40.40,9.193569,137.903542,27.877889,sdB,,,16.6,,,,,,,,0.0242,0.0009,0.075,15.281,0.017,15.587,0.011,17.110,0.420,16.490,0.410,16.890,0.280,17.530,0.430,16.730,0.410,,,,,,,,,,,16.303,0.006,16.696,0.004,17.226,0.005,17.599,0.007,17.942,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,-2.0,3.0,,,,,5.5,5.0,-1.5,5.0,,,,,1.2,2.8,-2.7,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,091137.60+353035.2,09:11:37.60,35:30:35.2,9.193778,137.906667,35.509778,sdOB,,,17.9,37990,,5.57,,-1.40,,Nemethprep,0.0188,0.0003,0.058,16.829,0.050,16.896,0.021,18.160,0.450,18.230,0.420,17.990,0.220,18.020,0.450,17.840,0.140,,,,,,,,,,,17.657,0.010,17.803,0.005,18.155,0.007,18.319,0.010,18.496,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,3.0,-4.0,3.0,,,,,1.1,4.9,-9.0,4.9,,,,,5.5,3.8,-6.3,2.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0909+169,09:11:55.30,16:42:58.48,9.198694,137.980417,16.716244,sd,,,15.7,,,,,,,,0.0295,0.0009,0.092,,,18.199,0.042,15.070,0.410,15.760,0.420,15.590,0.370,15.050,0.440,15.660,0.420,15.425,0.026,15.830,0.056,15.595,0.033,15.291,0.057,15.151,0.076,16.366,0.006,15.553,0.004,15.276,0.004,15.179,0.004,15.147,0.005,,,,,,,,,,,14.343,0.029,14.139,0.046,14.052,0.053,,,,,,,,,,,,,,,,,,,14.013,0.031,14.021,0.051,12.288,,8.532,,28.0,2.0,-16.0,2.0,24.7,2.3,-21.9,2.5,30.8,3.8,-15.2,3.8,34.0,4.0,-10.0,3.0,25.3,1.5,-13.8,1.5,24.5,5.1,-14.6,5.1,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J09121+0916,09:12:06.40,09:16:20.08,9.201778,138.026667,9.272244,sdB,,,13.1,,,,,,,,0.0481,0.0016,0.149,13.628,0.005,13.965,0.003,13.180,0.410,12.950,0.420,13.090,0.290,13.250,0.430,12.950,0.420,13.055,0.009,12.936,0.036,12.892,0.030,13.212,0.010,13.504,0.036,13.621,0.010,13.254,0.001,14.890,0.012,13.665,0.005,13.887,0.006,,,,,,,,,,,13.357,0.028,13.425,0.035,13.533,0.040,13.305,0.002,13.351,0.001,13.417,0.002,13.482,0.003,,,,,,,,,,,13.471,0.026,13.530,0.041,12.576,,9.010,,-6.0,3.0,2.0,3.0,-4.0,0.7,-4.9,1.2,-2.5,1.9,-1.2,1.9,,,,,-9.5,2.1,-2.8,1.2,-2.2,5.7,14.3,5.7,,,,,const,not covered,,,,,,,,,,,,,,,,
PG,0909+164,09:12:07.30,16:13:20.62,9.202028,138.030417,16.222394,sdB,,,13.7,35300,500,5.33,0.05,-2.76,0.10,Geier13,0.0312,0.0015,0.097,13.319,0.006,13.490,0.005,13.960,0.410,13.660,0.420,14.120,0.370,14.280,0.440,13.440,0.420,13.858,0.008,13.576,0.066,13.556,0.070,14.086,0.023,14.476,0.076,13.793,0.004,13.768,0.004,14.217,0.003,14.742,0.006,14.808,0.005,,,,,,,,,,,14.485,0.030,14.685,0.060,14.606,0.081,,,,,,,,,,,,,,,,,,,14.811,0.038,14.784,0.085,12.669,,9.134,,-8.0,2.0,-3.0,2.0,-8.6,1.7,-3.1,2.0,-1.0,0.9,-2.6,0.9,,,,,-5.0,1.6,-5.5,1.1,-6.3,5.1,-5.1,5.1,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,091225.13+421922.5,09:12:25.13,42:19:22.5,9.206981,138.104708,42.322917,sdB,,,17.4,31180,,5.38,,-3.57,0.00,Nemethprep,0.0158,0.0005,0.049,16.224,0.029,16.576,0.017,17.770,0.420,17.360,0.410,17.880,0.330,,,17.170,0.410,,,,,,,,,,,17.137,0.008,17.330,0.005,17.841,0.007,18.193,0.009,18.507,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,-13.0,3.0,,,,,-6.4,5.3,-9.0,5.3,,,,,-7.6,1.3,-11.4,1.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,09102-0946,09:12:42.14,-09:58:39.23,9.211706,138.175583,-9.977564,sdB,,,15.1,,,,,,,,0.0451,0.0020,0.140,14.370,0.006,14.617,0.004,15.020,0.420,15.070,0.420,,,15.440,0.430,14.850,0.430,15.317,0.047,15.146,0.083,15.099,0.044,15.521,0.121,15.739,0.229,,,,,,,,,,,,,,,,,,,,,15.669,0.064,15.834,0.128,15.531,0.208,,,,,,,,,,,,,15.738,0.016,,,15.693,0.071,15.890,0.068,15.863,0.186,12.758,,9.109,,,,,,-3.2,2.4,3.6,2.2,-4.2,4.8,4.3,4.8,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0909+276,09:12:51.65,27:20:31.54,9.214347,138.215208,27.342094,sdOB,,1,12.0,35500,500,6.09,0.05,-1.00,0.10,Geier13,0.0258,0.0010,0.080,,,11.938,0.002,,,,,12.070,0.190,,,11.870,0.100,12.261,0.063,12.121,0.150,12.061,0.042,12.487,0.022,12.844,0.059,11.941,0.001,12.012,8.22139E,12.519,9.106,12.882,0.002,14.035,0.009,,,,,,,,,,,12.860,0.021,12.962,0.021,13.140,0.030,,,,,,,,,,,,,,,,,,,13.130,0.026,13.234,0.033,12.367,,9.140,,0.0,0.0,0.0,0.0,1.2,0.8,0.2,0.7,3.4,1.7,1.9,1.7,2.0,,,,0.1,0.8,-6.1,1.9,5.6,5.1,1.1,5.1,,,,,saturated??,var?,,,,,,,,,,,,,,,,
SDSSJ,091301.01+305119.8,09:13:01.01,30:51:19.8,9.216947,138.254208,30.855500,sdB,,,18.4,,,,,,,,0.0190,0.0004,0.059,19.180,0.099,18.982,0.055,18.890,0.470,18.200,0.430,18.030,0.350,,,18.730,0.420,,,,,,,,,,,18.838,0.017,18.371,0.007,18.743,0.009,19.012,0.012,19.313,0.041,,,,,,,,,,,,,,,,,18.928,0.079,18.927,0.062,,,,,,,,,,,,,,,,,,,,,,,-3.0,3.0,1.0,3.0,,,,,-5.3,5.0,-8.8,5.0,,,,,-0.8,3.4,1.0,2.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0911+042,09:14:08.68,03:58:03.99,9.235744,138.536167,3.967775,sdB,,,15.2,27980,1370,5.51,0.27,-2.99,0.00,Luo16,0.0409,0.0015,0.127,14.473,0.007,14.709,0.004,15.310,0.430,15.020,0.410,15.570,0.310,15.730,0.430,14.930,0.420,15.436,0.119,15.241,0.092,15.280,0.050,15.567,0.024,,,15.050,0.004,15.178,0.003,15.648,0.004,15.958,0.004,16.253,0.007,,,,,,,,,,,16.000,0.085,15.793,0.168,15.238,,15.921,0.006,16.016,0.007,16.088,0.020,16.256,0.029,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,3.0,-3.9,6.0,-3.7,6.1,-2.1,4.0,4.7,4.0,12.0,4.0,-4.0,3.0,-2.5,1.1,-0.8,1.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0910+621,09:14:13.00,61:57:34.67,9.236944,138.554167,61.959631,sdB,,,15.5,28800,1000,5.57,0.15,-2.70,0.10,Saffer94,0.0356,0.0006,0.111,14.793,0.015,15.206,0.011,15.500,0.410,15.360,0.410,15.740,0.340,15.580,0.420,15.280,0.410,15.617,0.073,15.388,0.074,15.343,0.126,15.765,0.064,15.877,0.190,15.461,0.004,15.451,0.003,15.737,0.004,15.929,0.004,16.091,0.008,,,,,,,,,,,15.481,0.055,15.378,0.096,15.413,0.167,,,,,,,,,,,,,,,,,,,15.323,0.042,15.329,0.110,12.935,,9.331,,-10.0,3.0,-9.0,3.0,-6.2,2.7,-10.0,2.8,-16.7,4.4,-12.3,4.4,-12.0,2.0,-6.0,3.0,-6.8,1.7,-3.0,1.7,-3.9,5.5,-21.9,5.5,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,091428.87+125023.8,09:14:28.87,12:50:23.8,9.241353,138.620292,12.839944,sdB,,,18.0,33600,600,5.54,0.11,-3.00,0.00,Geier15,0.0216,0.0009,0.067,16.988,0.034,17.326,0.025,18.260,0.420,17.860,0.410,18.530,0.400,18.180,0.430,17.920,0.420,,,,,,,,,,,17.769,0.011,17.888,0.006,18.170,0.007,18.322,0.009,18.463,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.140,0.191,16.185,,12.576,,8.956,,10.0,3.0,-4.0,3.0,,,,,2.4,5.7,-7.1,5.7,,,,,9.4,1.1,-4.4,1.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,0910+584,09:14:33.58,58:12:38.09,9.242661,138.639917,58.210581,sdOB,,,17.5,,,,,,,,0.0232,0.0006,0.072,15.966,0.017,16.498,0.013,17.640,0.420,17.590,0.410,17.940,0.330,17.710,0.460,17.350,0.410,,,,,,,,,,,17.155,0.008,17.565,0.005,17.989,0.007,18.205,0.009,18.336,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.914,0.057,15.937,0.172,12.987,,9.346,,-2.0,3.0,3.0,3.0,,,,,-5.0,5.0,-1.6,5.0,,,,,-2.7,1.6,1.3,2.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0911+456,09:14:55.38,45:23:41.66,9.248717,138.730750,45.394906,sdBV,,,14.5,31900,,5.77,,-2.55,,Oestensen10,0.0101,0.0003,0.031,13.453,0.006,13.925,0.004,14.860,0.370,14.610,0.360,14.810,0.290,15.140,0.380,14.470,0.430,14.721,0.019,14.323,0.071,14.339,0.093,14.995,0.043,15.341,0.101,14.111,0.003,14.378,0.003,14.899,0.003,15.249,0.004,15.606,0.006,,,,,,,,,,,15.317,0.053,15.654,0.140,15.427,0.220,,,,,,,,,,,,,,,,,,,15.772,0.049,15.528,0.120,12.564,,9.155,,1.0,3.0,-6.0,3.0,1.2,3.3,-2.8,3.9,-0.3,4.5,-4.2,4.5,6.0,2.0,-2.0,2.0,-0.7,2.3,-4.9,1.3,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
PG,0912+189,09:15:07.09,18:47:16.59,9.251969,138.779542,18.787942,sd,,,15.7,,,,,,,,0.0270,0.0017,0.084,14.896,0.015,15.154,0.007,16.030,0.370,15.810,0.380,16.200,0.360,16.100,0.390,15.450,0.420,15.870,0.100,15.683,0.062,15.649,0.043,16.085,0.095,16.571,,15.488,0.005,15.582,0.004,16.069,0.005,16.394,0.005,16.703,0.010,,,,,,,,,,,16.417,0.096,16.184,0.151,17.564,,,,,,,,,,,,,,,,,,,,16.834,0.152,16.622,,12.028,,8.884,,2.0,2.0,-3.0,2.0,3.3,4.4,-10.7,5.7,0.5,4.5,-7.7,4.5,,,,,2.2,2.5,-0.9,3.2,7.9,5.2,9.7,5.2,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J09151-1554,09:15:08.15,-15:54:38.11,9.252264,138.783958,-15.910586,sdB,,,14.4,24691,,5.38,,-2.44,,Oestensenprep,0.0389,0.0009,0.121,13.719,0.010,13.853,0.007,14.630,0.420,14.320,0.420,,,14.760,0.430,14.100,0.420,14.549,0.014,14.394,0.042,14.402,0.154,14.710,0.059,15.092,0.093,,,,,,,,,,,,,,,,,,,,,15.022,0.033,15.207,0.101,15.147,0.177,,,,,,,,,,,,,15.049,0.004,,,15.228,0.016,15.354,0.048,15.715,0.165,12.103,0.279,9.177,,,,,,0.1,1.4,-3.3,3.0,-4.4,4.7,-9.8,4.7,2.0,4.0,-14.0,4.0,,,,,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,091512.06+191114.6,09:15:12.06,19:11:14.6,9.253350,138.800250,19.187389,He-sdOB,,,18.8,38440,,5.66,,0.02,,Nemethprep,0.0331,0.0014,0.103,17.622,0.064,17.889,0.018,19.410,0.460,18.860,0.410,19.010,0.580,,,18.740,0.420,,,,,,,,,,,18.392,0.015,18.748,0.008,19.258,0.013,19.650,0.022,20.009,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0,3.0,-8.0,3.0,,,,,-16.8,4.7,-10.0,4.7,-12.0,3.0,-4.0,7.0,-11.6,2.4,1.9,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,091515.01+582313.0,09:15:15.01,58:23:13.0,9.254169,138.812542,58.386944,sdB,,,18.7,,,,,,,,0.0260,0.0005,0.081,18.408,0.057,18.499,0.034,18.980,0.440,18.750,0.410,18.820,0.440,,,18.720,0.420,,,,,,,,,,,18.654,0.018,18.570,0.008,18.986,0.012,19.257,0.017,19.549,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,3.0,-3.0,3.0,,,,,-7.1,5.1,-6.1,5.1,,,,,-6.3,3.2,-2.9,2.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0912+119,09:15:28.40,11:41:54.16,9.257889,138.868333,11.698378,He-sdO,,,15.9,49290,,5.81,,1.50,,Nemethprep,0.0222,0.0007,0.069,14.598,0.012,14.871,0.009,16.200,0.340,15.820,0.330,16.430,0.230,16.460,0.350,15.750,0.340,,,,,,,,,,,15.511,0.004,15.855,0.004,16.402,0.005,16.749,0.005,17.004,0.010,,,,,,,,,,,,,,,,,16.801,0.012,16.860,0.019,,,,,,,,,,,,,,,,,,,,,,,-6.0,3.0,-12.0,3.0,1.8,7.3,-13.1,7.0,-3.3,5.7,-7.8,5.7,,,,,-4.9,2.0,-8.7,2.3,,,,,,,,,var irregular strong,too faint,,,,,,,,,,,,,,,,
SDSSJ,091544.43+511338.8,09:15:44.43,51:13:38.8,9.262342,138.935125,51.227444,sdB,,,17.1,,,,,,,,0.0148,0.0007,0.046,16.092,0.029,16.233,0.014,17.610,0.420,17.120,0.410,17.850,0.360,17.760,0.440,16.730,0.430,,,,,,,,,,,16.811,0.007,17.135,0.004,17.659,0.006,19.824,0.024,18.291,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,3.0,-10.0,3.0,,,,,-6.2,5.1,-3.5,5.1,,,,,-3.8,1.6,-7.5,3.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
